Parameterkürzel,Kurzbeschreibung,Beschreibung,Einheit,Codelist
rfb_ii_flag,Qualitätsflag für Relative Feuchte aus Feuchttemperatur zum Beobachtungstermin II,"Qualitätsflag für Relative Feuchte, berechnet aus Feuchttemperatur zum Beobachtungstermin II (13 UTC)",code,"[{'key': None, 'value': 'undefiniert'}, {'key': 0, 'value': 'ungeprüfte Daten'}, {'key': 10, 'value': 'automatisch geprüft'}, {'key': 11, 'value': 'automatisch geprüft (verändert)'}, {'key': 12, 'value': 'automatisch geprüft (original)'}, {'key': 20, 'value': 'manuell geprüft (unbekannt)'}, {'key': 21, 'value': 'manuell geprüft (verändert)'}, {'key': 22, 'value': 'manuell geprüft (original)'}]"
rfb_iii,Relative Feuchte aus Feuchttemperatur zum Beobachtungstermin III,"Relative Feuchte, berechnet aus Feuchttemperatur zum Beobachtungstermin III (18 UTC, vor 1971: 21 UHR MOZ)",%,
rfb_iii_flag,Qualitätsflag für Relative Feuchte aus Feuchttemperatur zum Beobachtungstermin III,"Qualitätsflag für Relative Feuchte, berechnet aus Feuchttemperatur zum Beobachtungstermin III (18 UTC, vor 1971: 21 UHR MOZ)",code,"[{'key': None, 'value': 'undefiniert'}, {'key': 0, 'value': 'ungeprüfte Daten'}, {'key': 10, 'value': 'automatisch geprüft'}, {'key': 11, 'value': 'automatisch geprüft (verändert)'}, {'key': 12, 'value': 'automatisch geprüft (original)'}, {'key': 20, 'value': 'manuell geprüft (unbekannt)'}, {'key': 21, 'value': 'manuell geprüft (verändert)'}, {'key': 22, 'value': 'manuell geprüft (original)'}]"
rfb_mittel,Relative Feuchte Mittelwert aus Feuchttemperatur,"Relative Feuchte, Tagesmittel aus den berechneten Werten zu Beobachtungsterminen I,II,III (06,13,18 UTC)",%,
rfb_mittel_flag,Qualitätsflag für Relative Feuchte Mittelwert aus Feuchttemperatur,"Qualitätsflag für Relative Feuchte, Tagesmittel aus den berechneten Werten zu Beobachtungsterminen I,II,III (06,13,18 UTC)",code,"[{'key': None, 'value': 'undefiniert'}, {'key': 0, 'value': 'ungeprüfte Daten'}, {'key': 10, 'value': 'automatisch geprüft'}, {'key': 11, 'value': 'automatisch geprüft (verändert)'}, {'key': 12, 'value': 'automatisch geprüft (original)'}, {'key': 20, 'value': 'manuell geprüft (unbekannt)'}, {'key': 21, 'value': 'manuell geprüft (verändert)'}, {'key': 22, 'value': 'manuell geprüft (original)'}]"
rf_i,Relative Feuchte zum Beobachtungstermin I,Relative Feuchte zum Beobachtungstermin I (06 UTC),%,
rf_i_flag,Qualitätsflag für Relative Feuchte zum Beobachtungstermin I,Qualitätsflag für Relative Feuchte zum Beobachtungstermin I (06 UTC),code,"[{'key': None, 'value': 'undefiniert'}, {'key': 0, 'value': 'ungeprüfte Daten'}, {'key': 10, 'value': 'automatisch geprüft'}, {'key': 11, 'value': 'automatisch geprüft (verändert)'}, {'key': 12, 'value': 'automatisch geprüft (original)'}, {'key': 20, 'value': 'manuell geprüft (unbekannt)'}, {'key': 21, 'value': 'manuell geprüft (verändert)'}, {'key': 22, 'value': 'manuell geprüft (original)'}]"
rf_ii,Relative Feuchte zum Beobachtungstermin II,Relative Feuchte zum Beobachtungstermin II (13 UTC),%,
rf_ii_flag,Qualitätsflag für Relative Feuchte zum Beobachtungstermin II,Qualitätsflag für Relative Feuchte zum Beobachtungstermin II (13 UTC),code,"[{'key': None, 'value': 'undefiniert'}, {'key': 0, 'value': 'ungeprüfte Daten'}, {'key': 10, 'value': 'automatisch geprüft'}, {'key': 11, 'value': 'automatisch geprüft (verändert)'}, {'key': 12, 'value': 'automatisch geprüft (original)'}, {'key': 20, 'value': 'manuell geprüft (unbekannt)'}, {'key': 21, 'value': 'manuell geprüft (verändert)'}, {'key': 22, 'value': 'manuell geprüft (original)'}]"
rf_iii,Relative Feuchte zum Beobachtungstermin III,"Relative Feuchte zum Beobachtungstermin III (18 UTC, vor 1971: 21 UHR MOZ)",%,
